"vehicle_year_name","vehicle_style","site_rating","vehicle_price","vehicle_mileage","vehicle_location","vehicle_ext_color","vehicle_int_color","vehicle_accident_count","vehicle_title_type","vehicle_mpg","vehicle_transmission","vehicle_fuel_type","vehicle_options_level","vehicle_engine","vehicle_drive_type","vehicle_usage_type"
"2015 Nissan LEAF","SV (alt)","Excellent Price","$9,990","48,677","Oklahoma City, OK","Brilliant Silver","Black","0 reported accidents","Clean","126 cty / 101 hwy","Automatic","Electric","Well Equipped","L - Electric","FWD","Fleet or Mixed Use"
"2016 Honda Fit","EX-L CVT","Great Price","$12,995","19,209","Bethany, OK","Crystal Black Pearl","Black","0 reported accidents","Clean","32 cty / 38 hwy","Automatic","Gas",NA,"1.5L Inline-4 Gas","FWD","Personal or Rental Use"
"2016 Honda Fit","EX CVT","Excellent Price","$14,590","26,269","Oklahoma City, OK","Alabaster Silver Metallic","Black","0 reported accidents","Clean","32 cty / 38 hwy","Automatic","Gas","Standard","1.5L Inline-4 Gas","FWD","Personal or Rental Use"
"2017 BMW i3","94 Ah with Range Extender","Excellent Price","$18,484","26,909","Dallas, TX","Protonic Blue Metallic W/Frozen Gray Accent","Black","0 reported accidents","Clean","N/A cty / N/A hwy","Automatic","Plug-In","Standard","0.6L Inline-2 Plug-In","RWD","Personal or Rental Use"
"2013 Volkswagen Golf","TDI 4-door DSG","Excellent Price","$8,995","89,824","Fort Worth, TX","Black","Gray","0 reported accidents","Clean","30 cty / 42 hwy","Automatic","Diesel","Standard","2.0L Inline-4 Diesel Turbocharged","FWD","Fleet or Mixed Use"
"2017 FIAT 500","500e Hatch","Excellent Price","$7,084","22,855","Carrolton, TX","Grigio Cenre","Black","0 reported accidents","Clean","121 cty / 103 hwy","Automatic","Electric","Minimal Options","L - Electric","FWD","Personal or Rental Use"
"2018 Honda Civic","Sport Touring Hatchback CVT","Great Price","$23,990","14,843","Oklahoma City, OK","Sonic Gray Pearl","Black","0 reported accidents","Clean","30 cty / 36 hwy","Automatic","Gas",NA,"1.5L Inline-4 Gas Turbocharged","FWD","Personal or Rental Use"
"2018 Ford Fiesta","SE Hatch","Great Price","$9,788","43,927","Oklahoma City, OK","Ingot Silver Metallic","Charcoal Black","0 reported accidents","Theft Recovered","27 cty / 35 hwy","Automatic","Gas","Standard","1.6L Inline-4 Gas","FWD","Personal or Rental Use"
"2011 Mazda Mazda2","Sport Automatic","Fair Price","$5,795","87,195","Oklahoma City, OK","Liquid Silver Metallic","Black","0 reported accidents","Clean","27 cty / 33 hwy","Automatic","Gas","Minimal Options","1.5L Inline-4 Gas","FWD","Personal or Rental Use"
"2014 Ford Focus","SE Hatchback","Great Price","$11,590","40,085","Oklahoma City, OK","Blue Candy Tinted Clearcoat","Beige","0 reported accidents","Clean","26 cty / 36 hwy","Automatic","Gas","Standard","2.0L Inline-4 Gas","FWD","Personal or Rental Use"
"2015 FIAT 500","500e Hatch","Excellent Price","$9,590","56,139","Oklahoma City, OK","Nero Puro (Straight Black)","Black","0 reported accidents","Clean","122 cty / 108 hwy","Automatic","Electric","Fully Loaded","L - Electric","FWD","Fleet or Mixed Use"
"2014 Volkswagen Golf GTI","Driver's Edition Manual (PZEV)","Excellent Price","$15,990","56,514","Oklahoma City, OK","Black","Black","0 reported accidents","Clean","21 cty / 31 hwy","Manual","Gas","Standard","2.0L Inline-4 Gas Turbocharged","FWD","Personal or Rental Use"
"2015 BMW i3","60 Ah","Excellent Price","$14,590","35,469","Oklahoma City, OK","Laurel Gray Metallic W/Bmw I Frozen Blue Accent","Giga Cassia/Spice Gray","0 reported accidents","Clean","137 cty / 111 hwy","Automatic","Electric","Standard","L - Electric","RWD","Personal or Rental Use"
"2013 Honda Fit","Sport Automatic","Excellent Price","$8,995","74,837","Carrollton, TX","Alabaster Silver Metallic","Black","2 reported accidents","Clean","27 cty / 33 hwy","Automatic","Gas","Standard","1.5L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2019 Kia Soul","Base Automatic","Excellent Price","$13,100","47,835","Yukon, OK","Titanium Gray","Black","0 reported accidents","Clean","26 cty / 31 hwy","Automatic","Gas","Fully Loaded","1.6L Inline-4 Gas","FWD","Fleet or Mixed Use"
"2017 BMW i3","94 Ah with Range Extender","Excellent Price","$18,484","24,108","Dallas, TX","Capparis White W/Bmw I Frozen Blue Accent","Deka Gray/Blue Highlight","0 reported accidents","Clean","N/A cty / N/A hwy","Automatic","Plug-In","Standard","0.6L Inline-2 Plug-In","RWD","Personal or Rental Use"
"2014 BMW i3","60 Ah","Excellent Price","$13,990","21,564","Oklahoma City, OK","Laurel Gray Metallic W/Bmw I Frozen Blue Accent","Giga Cassia/Spice Gray","0 reported accidents","Clean","137 cty / 111 hwy","Automatic","Electric","Standard","L - Electric","RWD","Fleet or Mixed Use"
"2017 FIAT 500","500e Hatch","Excellent Price","$7,582","12,567","Carrolton, TX","Celeste Blu (Retro Light Blue)","Black","0 reported accidents","Clean","121 cty / 103 hwy","Automatic","Electric","Minimal Options","L - Electric","FWD","Personal or Rental Use"
"2017 Chevrolet Bolt EV","LT","Excellent Price","$17,990","17,863","Oklahoma City, OK","Arctic Blue Metallic","Dark Galvanized/Sky Cool Gray","0 reported accidents","Clean","128 cty / 110 hwy","Automatic","Electric","Well Equipped","L - Electric","FWD","Personal or Rental Use"
"2017 FIAT 500","500e Hatch","Excellent Price","$7,283","18,569","Carrolton, TX","Nero Puro (Straight Black)","Black","0 reported accidents","Clean","121 cty / 103 hwy","Automatic","Electric","Minimal Options","L - Electric","FWD","Personal or Rental Use"
"2017 Mazda Mazda3","Touring 5-Door Automatic","Excellent Price","$15,990","33,862","Oklahoma City, OK","Machine Gray Metallic","Black","0 reported accidents","Clean","28 cty / 37 hwy","Automatic","Gas","Fully Loaded","2.0L Inline-4 Gas","FWD","Personal or Rental Use"
