vehicle_year_name,vehicle_style,site_rating,vehicle_price,vehicle_mileage,vehicle_location,vehicle_ext_color,vehicle_int_color,vehicle_accident_count,vehicle_title_type,vehicle_mpg,vehicle_transmission,vehicle_fuel_type,vehicle_options_level,vehicle_engine,vehicle_drive_type,vehicle_usage_type
2012 Honda Civic,LX Sedan Automatic,Excellent Price,"$7,293 ","108,122","Oklahoma City, OK",Urban Titanium Metallic,Beige,0 reported accidents,Clean,28 cty / 39 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2013 BMW 5 Series,528i Sedan,Excellent Price,"$11,995 ","97,020","Oklahoma City, OK",Citrin Black Metallic,Unknown,0 reported accidents,Clean,24 cty / 34 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,RWD,Fleet or Mixed Use
2013 Ford Fusion,SE FWD,Excellent Price,"$7,991 ","106,341","Oklahoma City, OK",Tuxedo Black Metallic,Charcoal Black,1 reported accidents,Clean,22 cty / 34 hwy,Automatic,Gas,Standard,1.6L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2019 Nissan Altima,S FWD,Excellent Price,"$15,988 ","37,343","Oklahoma City, OK",Super Black,Charcoal,0 reported accidents,Clean,28 cty / 39 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2015 Chrysler 200,S FWD,Excellent Price,"$12,056 ","58,601","Oklahoma City, OK",Phantom Black Tri-Coat Pearl,Ambassador Blue/Black,1 reported accidents,Clean,23 cty / 36 hwy,Automatic,Gas,Fully Loaded,3.6L V-6 Gas,FWD,Personal or Rental Use
2015 Toyota Corolla,S Premium CVT,Excellent Price,"$10,995 ","62,893","Bethany, OK",Black,Gray,0 reported accidents,Theft Recovered,29 cty / 37 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Fleet or Mixed Use
2012 Honda Accord,LX Sedan I4 Automatic,Excellent Price,"$9,668 ","93,814","Oklahoma City, OK",Alabaster Silver Metallic,Gray,0 reported accidents,Clean,23 cty / 34 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2014 Honda Accord,LX Sedan I4 CVT,Excellent Price,"$9,955 ","115,114","Oklahoma City, OK",Crystal Black Pearl,Black,0 reported accidents,Clean,27 cty / 36 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2018 Hyundai Elantra,SEL 2.0L Sedan Automatic,Excellent Price,"$10,450 ","70,646","Midwest City, OK",Machine Gray,Gray,0 reported accidents,Clean,28 cty / 37 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2017 Ford Fusion,SE FWD,Excellent Price,"$10,988 ","58,486","Midwest City, OK",Magnetic,Medium Light Stone,2 reported accidents,Clean,21 cty / 32 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,FWD,Fleet or Mixed Use
2013 Hyundai Elantra,Limited Sedan Automatic,Excellent Price,"$8,990 ","71,065","Oklahoma City, OK",Atlantic Blue,Beige,0 reported accidents,Clean,28 cty / 38 hwy,Automatic,Gas,Minimal Options,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2013 Hyundai Elantra,GLS Sedan Manual,Excellent Price,"$7,295 ","75,956","Oklahoma City, OK",Titanium Gray Metallic,Gray,2 reported accidents,Theft Recovered,28 cty / 38 hwy,Manual,Gas,Standard,1.8L Inline-4 Gas,FWD,Fleet or Mixed Use
2014 Chevrolet Cruze,LTZ Automatic,Excellent Price,"$7,400 ","102,975","Oklahoma City, OK",Red Hot,Cocoa/Light Neutral,0 reported accidents,Clean,26 cty / 38 hwy,Automatic,Gas,Well Equipped,1.4L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2019 Nissan Versa,SV Sedan CVT,Excellent Price,"$11,489 ","34,383","Del City, OK",Brilliant Silver Metallic,Charcoal,0 reported accidents,Clean,31 cty / 39 hwy,Automatic,Gas,Standard,1.6L Inline-4 Gas,FWD,Personal or Rental Use
2013 Dodge Dart,SXT,Excellent Price,"$5,988 ","112,258","Midwest City, OK",Maximum Steel Metallic,Black/Light Tungsten,0 reported accidents,Clean,25 cty / 36 hwy,Automatic,Gas,Well Equipped,2.0L Inline-4 Gas,FWD,Fleet or Mixed Use
2014 Mercedes-Benz C-Class,C 250 Sport Sedan RWD,Excellent Price,"$10,950 ","109,556","Oklahoma City, OK",Gray,Gray,1 reported accidents,Clean,22 cty / 31 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas Turbocharged,RWD,Fleet or Mixed Use
2017 Nissan Sentra,S CVT,Excellent Price,"$8,950 ","85,799","Oklahoma City, OK",Fresh Powder,Charcoal,0 reported accidents,Clean,29 cty / 37 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Fleet or Mixed Use
2018 Chevrolet Malibu,LT with 1LT,Excellent Price,"$11,995 ","76,999","Oklahoma City, OK",Pepperdust Metallic,Jet Black,0 reported accidents,Clean,27 cty / 36 hwy,Automatic,Gas,Standard,1.5L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2013 Hyundai Sonata,GLS 2.4L,Great Price,"$9,995 ","56,643","Oklahoma City, OK",Harbor Gray Metallic,Gray,0 reported accidents,Clean,24 cty / 35 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2017 Hyundai Elantra,SE 2.0L Sedan Automatic (alt),Excellent Price,"$12,995 ","30,347","Oklahoma City, OK",Lakeside Blue,Gray,0 reported accidents,Clean,29 cty / 38 hwy,Automatic,Gas,Well Equipped,2.0L Inline-4 Gas,FWD,Fleet or Mixed Use
2011 Ford Focus,SES Sedan,Excellent Price,"$4,991 ","100,995","Oklahoma City, OK",Blue Flame Metallic,Charcoal Black,0 reported accidents,Clean,25 cty / 35 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2010 Nissan Altima,2.5 S Sedan CVT,Excellent Price,"$5,762 ","130,001","Oklahoma City, OK",Super Black,Unknown,0 reported accidents,Clean,23 cty / 32 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2012 BMW 3 Series,328i Sedan,Excellent Price,"$9,999 ","90,705","Oklahoma City, OK",Mineral Gray Metallic,Everest Gray W/Black Highlight,0 reported accidents,Clean,23 cty / 34 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,RWD,Fleet or Mixed Use
2010 Ford Fusion,Hybrid FWD,Excellent Price,"$6,885 ","80,779","Oklahoma City, OK",Unknown,Unknown,1 reported accidents,Clean,41 cty / 36 hwy,Automatic,Hybrid,Standard,2.5L Inline-4 Hybrid,FWD,Personal or Rental Use
2014 Honda Civic,CNG Sedan Automatic,Excellent Price,"$10,990 ","70,924","Oklahoma City, OK",White,Beige,0 reported accidents,Clean,27 cty / 38 hwy,Automatic,CNG,Standard,1.8L Inline-4 CNG,FWD,Personal or Rental Use
2017 Nissan Sentra,S CVT,Excellent Price,"$8,950 ","49,660","Oklahoma City, OK",White,Beige,0 reported accidents,Salvaged,29 cty / 37 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2015 Hyundai Sonata,Limited 2.0T with Gray Accents,Excellent Price,"$12,990 ","90,991","Oklahoma City, OK",Phantom Black,Black,0 reported accidents,Clean,21 cty / 31 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,FWD,Fleet or Mixed Use
2012 Honda Accord,SE Sedan I4 Automatic,Excellent Price,"$10,590 ","98,647","Oklahoma City, OK",Gray,Black,0 reported accidents,Clean,23 cty / 34 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2011 Nissan Altima,2.5 S Sedan CVT,Great Price,"$7,395 ","93,473","Oklahoma City, OK",Winter Frost Pearl,Frost,0 reported accidents,Clean,23 cty / 32 hwy,Automatic,Gas,Minimal Options,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2018 Nissan Altima,2.5 SL,Great Price,"$14,800 ","78,404","Oklahoma City, OK",Gun Metallic,Charcoal,0 reported accidents,Clean,27 cty / 38 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Fleet or Mixed Use
2013 Kia Rio,EX Sedan Automatic,Great Price,"$6,295 ","97,326","Oklahoma City, OK",Aurora Black Pearl,Beige,1 reported accidents,Clean,28 cty / 36 hwy,Automatic,Gas,Minimal Options,1.6L Inline-4 Gas,FWD,Personal or Rental Use
2017 Dodge Charger,SE RWD,Excellent Price,"$16,400 ","69,128","Oklahoma City, OK",White Knuckle Clearcoat,Black,0 reported accidents,Clean,19 cty / 30 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,RWD,Personal or Rental Use
2017 Honda Accord,Sport Sedan CVT,Excellent Price,"$18,700 ","13,837","Oklahoma City, OK",White Orchid Pearl,Unknown,1 reported accidents,Clean,26 cty / 34 hwy,Automatic,Gas,NA,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2013 Chrysler 300,RWD,Great Price,"$9,900 ","111,478","Oklahoma City, OK",Granite Crystal Metallic,Black,0 reported accidents,Clean,19 cty / 31 hwy,Automatic,Gas,Fully Loaded,3.6L V-6 Gas,RWD,Personal or Rental Use
2019 Toyota Corolla,LE CVT,Excellent Price,"$14,590 ","28,685","Oklahoma City, OK",Gray,Gray,0 reported accidents,Clean,28 cty / 36 hwy,Automatic,Gas,NA,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2019 Toyota Corolla,LE CVT,Excellent Price,"$14,590 ","30,440","Oklahoma City, OK",Black,Black,0 reported accidents,Clean,28 cty / 36 hwy,Automatic,Gas,NA,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2014 Ford Fusion,SE FWD,Great Price,"$8,585 ","125,822","Oklahoma City, OK",Tuxedo Black Metallic,Charcoal Black,0 reported accidents,Clean,22 cty / 34 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Fleet or Mixed Use
2012 Mazda Mazda3,i Touring 4-Door Automatic,Great Price,"$8,800 ","53,824","Oklahoma City, OK",Graphite Mica,Black,0 reported accidents,Clean,28 cty / 40 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2016 Hyundai Sonata,Sport 2.4L,Excellent Price,"$11,988 ","43,727","Midwest City, OK",Lakeside Blue,Gray,0 reported accidents,Clean,25 cty / 38 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2015 Mazda Mazda3,i Sport 4-Door Automatic,Excellent Price,"$8,995 ","90,259","Oklahoma City, OK",Deep Crystal Blue Mica,Black,2 reported accidents,Clean,30 cty / 41 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2014 Lincoln MKS,3.7L FWD,Great Price,"$11,000 ","114,376","Oklahoma City, OK",Tuxedo Black,Tan,1 reported accidents,Clean,19 cty / 28 hwy,Automatic,Gas,Standard,3.7L V-6 Gas,FWD,Fleet or Mixed Use
2012 Toyota Camry,L I4 Automatic,Excellent Price,"$8,951 ","117,601","Oklahoma City, OK",White,Ash,1 reported accidents,Clean,25 cty / 35 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2014 Honda Accord,LX Sedan I4 CVT,Excellent Price,"$13,590 ","47,146","Oklahoma City, OK",Gray,Gray,0 reported accidents,Clean,27 cty / 36 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2016 Nissan Versa,1.6 SV CVT,Great Price,"$7,990 ","62,687","Oklahoma City, OK",Gun Metallic,Charcoal,0 reported accidents,Clean,31 cty / 40 hwy,Automatic,Gas,Standard,1.6L Inline-4 Gas,FWD,Personal or Rental Use
2019 Toyota Camry,LE Automatic,Excellent Price,"$17,300 ","35,706","YUKON, OK",Super White,Black,0 reported accidents,Clean,28 cty / 39 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2011 Chevrolet Volt,Hatch,Excellent Price,"$9,590 ","55,559","Oklahoma City, OK",White Diamond Tricoat,Jet Black Seats/Ceramic White Accents,0 reported accidents,Clean,95 cty / 90 hwy,Automatic,Plug-In,Minimal Options,1.4L Inline-4 Plug-In,FWD,Personal or Rental Use
2015 Chevrolet Cruze,LS Automatic,Excellent Price,"$8,495 ","60,755","Oklahoma City, OK",Red Hot,Jet Black/Medium Titanium,0 reported accidents,Clean,22 cty / 35 hwy,Automatic,Gas,Minimal Options,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2019 Nissan Versa,SV Sedan CVT,Fair Price,"$12,500 ","15,875","Oklahoma City, OK",Gun Metallic,Charcoal,0 reported accidents,Clean,31 cty / 39 hwy,Automatic,Gas,Fully Loaded,1.6L Inline-4 Gas,FWD,Fleet or Mixed Use
2017 Hyundai Elantra,SE 2.0L Sedan Automatic (alt),Great Price,"$11,795 ","37,196","Oklahoma City, OK",Mineral Beige,Beige,3 reported accidents,Clean,29 cty / 38 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas,FWD,Fleet or Mixed Use
2017 Honda Accord,Touring Sedan Automatic,Excellent Price,"$19,295 ","70,010","Oklahoma City, OK",Crystal Black Pearl,Black,0 reported accidents,Clean,21 cty / 33 hwy,Automatic,Gas,NA,3.5L V-6 Gas,FWD,Personal or Rental Use
2015 Honda Civic,EX-L Sedan CVT,Excellent Price,"$13,990 ","62,698","Oklahoma City, OK",Black,Black,0 reported accidents,Clean,30 cty / 39 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2019 Hyundai Elantra,SE 2.0L Automatic,Excellent Price,"$13,595 ","22,350","Oklahoma City, OK",Symphony Silver,Black,1 reported accidents,Clean,29 cty / 38 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2012 Hyundai Sonata,SE 2.0T Automatic,Excellent Price,"$5,899 ","158,485","Norman, OK",Sparkling Ruby,Black,2 reported accidents,Clean,22 cty / 34 hwy,Automatic,Gas,Fully Loaded,2.0L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2015 Chevrolet Impala,LS with 2FL,Excellent Price,"$14,709 ","73,961","Oklahoma City, OK",Summit White,Jet Black/Dark Titanium,0 reported accidents,Clean,17 cty / 25 hwy,Automatic,CNG,NA,3.6L V-6 CNG,FWD,Personal or Rental Use
2012 Honda Civic,LX Sedan Automatic,Excellent Price,"$9,891 ","67,053","Oklahoma City, OK",Alabaster Silver Metallic,Gray,0 reported accidents,Clean,28 cty / 39 hwy,Automatic,Gas,Standard,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2019 Ford Fusion,Hybrid SE FWD,Great Price,"$15,896 ","30,470","Oklahoma City, OK",Ingot Silver Metallic,Ebony,0 reported accidents,Clean,43 cty / 41 hwy,Automatic,Hybrid,Standard,2.0L Inline-4 Hybrid,FWD,Personal or Rental Use
2018 Hyundai Elantra,SEL 2.0L Sedan Automatic,Great Price,"$12,795 ","54,082","Oklahoma City, OK",Electric Blue,Gray,0 reported accidents,Clean,28 cty / 37 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas,FWD,Fleet or Mixed Use
2015 Nissan Altima,2.5 S,Fair Price,"$11,950 ","40,623","Oklahoma City, OK",Super Black,Charcoal,0 reported accidents,Clean,27 cty / 38 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Fleet or Mixed Use
2019 Cadillac XTS,Luxury FWD,Excellent Price,"$25,590 ","22,476","Oklahoma City, OK",Radiant Silver Metallic,Jet Black,0 reported accidents,Clean,19 cty / 28 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,FWD,Personal or Rental Use
2015 BMW 3 Series,328i Sedan RWD,Excellent Price,"$14,995 ","47,837","Bethany, OK",Jet Black,Black,1 reported accidents,Clean,23 cty / 35 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,RWD,Fleet or Mixed Use
2015 Toyota Avalon,XLE Premium,Excellent Price,"$14,495 ","70,480","Oklahoma City, OK",Attitude Black,Black,0 reported accidents,Clean,21 cty / 31 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2016 Chevrolet Cruze Limited,Limited LTZ Sedan AT,Excellent Price,"$6,988 ","108,377","Midwest City, OK",Silver Ice Metallic,Jet Black,0 reported accidents,Clean,26 cty / 38 hwy,Automatic,Gas,Minimal Options,1.4L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2015 Hyundai Sonata,SE 2.4L,Great Price,"$7,185 ","159,687","Del City, OK",Quartz White Pearl,Beige,1 reported accidents,Clean,25 cty / 37 hwy,Automatic,Gas,Fully Loaded,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2018 Hyundai Elantra,SEL 2.0L Sedan Automatic,Excellent Price,"$13,706 ","32,130","OKLAHOMA CITY, OK",Scarlet Red,Gray,0 reported accidents,Clean,28 cty / 37 hwy,Automatic,Gas,Fully Loaded,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2019 Ford Fusion,SEL FWD,Excellent Price,"$16,590 ","35,718","Oklahoma City, OK",Agate Black,Black,0 reported accidents,Clean,23 cty / 34 hwy,Automatic,Gas,Standard,1.5L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2018 Hyundai Sonata,Sport 2.4L,Great Price,"$14,975 ","70,071","Oklahoma City, OK",Phantom Black,Black,1 reported accidents,Clean,25 cty / 35 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2013 Chevrolet Cruze,LT with 1LT Automatic,Excellent Price,"$5,885 ","126,040","Del City, OK",Silver Ice Metallic,Jet Black,0 reported accidents,Clean,26 cty / 38 hwy,Automatic,Gas,Fully Loaded,1.4L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2019 INFINITI Q50,3.0t LUXE RWD,Excellent Price,"$26,990 ","22,825","Oklahoma City, OK",Graphite Shadow,Graphite,0 reported accidents,Clean,20 cty / 29 hwy,Automatic,Gas,Minimal Options,3.0L V-6 Gas Turbocharged,RWD,Personal or Rental Use
2019 Toyota Corolla,XLE CVT,Excellent Price,"$16,590 ","15,008","Oklahoma City, OK",Silver,Black,0 reported accidents,Clean,28 cty / 36 hwy,Automatic,Gas,NA,1.8L Inline-4 Gas,FWD,Personal or Rental Use
2017 Kia Forte,LX Sedan Automatic,Excellent Price,"$10,293 ","40,162","Oklahoma City, OK",Aurora Black,Gray,0 reported accidents,Clean,29 cty / 38 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2013 Toyota Avalon,Limited,Excellent Price,"$15,590 ","94,098","Oklahoma City, OK",White,Black,0 reported accidents,Clean,21 cty / 31 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
